Age;Sex;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
40;Males;429308;432676;437821;423830;395231;390676;398074;404828;409373;426690;444016;455459;447370;460484;461903;471928;469299;472793;465939;458258;449172;435946;421621;413122;406596
41;Males;433631;435660;421950;394472;389748;397722;405541;410276;427368;444392;456189;445586;458582;462021;471066;468500;471289;467000;456879;449128;437923;421350;413353;407261;393931
42;Males;436555;419916;392734;388797;397376;405560;411081;428204;444952;457066;446372;456783;459669;470860;467605;470615;465964;457939;448370;437707;423133;413177;407677;394405;382779
43;Males;420463;390938;387135;397248;405484;411346;429033;445837;458242;447468;457776;457484;468450;467213;469638;465470;457024;449555;436435;422893;414735;407918;395186;382864;372683
44;Males;391128;385412;395935;405139;411183;428995;446229;459250;448391;458638;458119;466094;464777;469274;464894;456795;449087;437267;421744;414477;409009;395265;382818;372835;375776
45;Males;385508;394944;404010;411003;428696;445954;460024;449338;459580;458847;466278;463686;469065;464710;456389;447242;437306;421432;414397;408516;392832;382256;372277;375307;372499
46;Males;394934;403286;409821;428178;445323;460136;449839;460327;459574;466473;463698;468213;464720;456286;447104;435131;421349;413905;408000;392420;379877;371795;374451;371858;366387
47;Males;402956;409083;426830;444848;460111;450008;460982;460363;466910;463934;468241;464223;456459;447425;434677;419427;413787;407107;391901;379470;369054;373948;370898;366124;371672
48;Males;408686;425895;443362;459646;449907;461162;460924;467292;464166;468421;464042;456079;447929;434508;418988;411772;406538;391040;379102;368247;371561;370061;365514;370629;381325
49;Males;425223;442246;458241;449531;461119;460895;467159;464299;468381;463776;455625;447778;434454;418805;411181;404251;390441;378363;367340;370734;367997;364879;369338;380427;394528
50;Males;441156;457398;448214;460679;460679;466790;464096;468291;463528;455217;447173;433173;417591;410675;404011;389369;377139;366692;368844;367086;363672;367205;379263;393111;421561
51;Males;456148;447422;459146;460035;466140;463517;467949;463253;454869;446536;432709;416388;409266;403139;389317;376164;365065;368283;365445;362143;366075;377400;391939;420342;450251
52;Males;445934;458381;458416;464840;462547;467237;462675;454165;445848;432093;415843;407779;401138;388351;376094;363677;366629;365033;359854;364658;375920;390057;419355;447711;361928
53;Males;456662;457412;462772;461153;466091;461629;453253;444995;431375;415253;406849;399278;386527;375359;363242;365252;363623;358854;362582;374080;388324;417310;444902;360819;354498
54;Males;455524;461371;458885;464414;460396;452029;443840;430625;414635;405965;398077;384708;373619;361930;364747;362408;356747;361672;371493;386341;414851;441308;360058;353438;351273
55;Males;459355;457353;461828;458306;450508;442379;429432;413766;405027;396919;383275;372187;360173;363166;360352;354194;359701;369867;383901;411308;439459;358612;351974;349162;335916
56;Males;455257;460096;455586;448292;440547;427920;412473;403809;395732;381803;370550;358149;361201;358803;351509;357127;367313;381800;408090;436998;355487;349921;346529;333842;304138
57;Males;457660;453376;445264;438191;425944;410986;402257;394231;380237;368873;356462;359232;357166;349460;354547;364561;379159;405211;434972;352039;346771;343954;331432;301846;283549
58;Males;450790;443132;434992;423516;409034;400360;392354;378396;367095;354565;357180;355330;347104;352403;361603;376069;401892;433251;348895;343276;341516;329020;299074;281775;296055
59;Males;440443;432367;420370;406562;398136;390296;376259;365128;352571;354946;353049;344537;350113;359123;372729;398006;431071;345953;340055;338837;325809;296317;279767;293507;296884
60;Males;429528;417691;403425;395452;387727;373711;362778;350195;352575;350560;342036;347508;356829;369849;394463;426430;341916;336351;335937;322472;293373;277016;290625;293949;294391
61;Males;414478;400640;392086;384902;370817;360193;347607;349964;347984;339363;344813;353665;367118;390865;424002;336514;332246;332869;318902;290100;273592;287481;290827;291531;286998
62;Males;397424;389076;381285;367644;357114;344655;347058;345089;336520;341804;350511;363730;387286;421411;332833;326880;329548;315133;286544;269765;283867;287095;288115;283501;278218
63;Males;385588;377784;363871;353762;341424;343804;341798;333354;338726;347037;360105;382951;418803;329205;323184;324799;310927;282785;265589;279809;283285;284293;279861;274419;270180
64;Males;374114;360193;349778;337843;340241;338352;329817;335232;343444;356271;378936;415577;325608;319185;321652;305698;278729;261191;275436;279056;280187;275940;270327;266037;258532
65;Males;356235;346008;333653;336371;334335;325974;331371;339344;352154;374441;410796;321178;315706;318441;302036;274425;256040;270776;273855;274878;271032;266519;261716;254227;254827
66;Males;341734;329589;331780;330124;321821;327159;335058;347622;369891;405650;316899;311199;315352;297867;270741;251313;265642;269049;269512;265392;261298;257335;249300;249909;255562
